"song","artist","duration_ms","explicit","year","popularity","danceability","genre"
"Suga Suga","Baby Bash",239026,"False",2003,73,0.662,"hip hop; pop; R&B; latin"
"Miss You - Main","Aaliyah",245240,"False",2002,36,0.602,"hip hop; pop; R&B"
"Me Against the Music (feat. Madonna) - LP Version / Video Mix","Britney Spears",223773,"False",2003,59,0.804,"pop"
"Sorry Seems To Be The Hardest Word","Blue",210066,"False",2004,57,0.564,"pop"
"Lost Without You","Delta Goodrem",248546,"False",2003,54,0.581,"pop"
"Rock Your Body","Justin Timberlake",267266,"False",2002,76,0.892,"pop"
"Seven Nation Army","The White Stripes",231920,"False",2003,3,0.741,"rock; blues"
"Damn! (feat. Lil' Jon) - Club Mix","Youngbloodz",298600,"True",2003,54,0.772,"hip hop; pop"
"Baby Boy (feat. Sean Paul)","Beyoncé",244826,"False",2003,63,0.655,"pop; R&B"
"Magic Stick","Lil' Kim",359973,"True",2019,47,0.849,"hip hop; pop; R&B"
"Can't Hold Us Down (feat. Lil' Kim)","Christina Aguilera",255266,"False",2002,61,0.859,"pop"
"Someday","Nickelback",207466,"False",2003,68,0.455,"rock; metal"
"U Make Me Wanna - Radio Edit","Blue",222400,"False",2003,48,0.6,"pop"
"Rain On Me","Ashanti",297960,"False",2003,50,0.606,"hip hop; pop; R&B"
"Headstrong","Trapt",285569,"True",2002,72,0.492,"rock; metal"
"Sunrise","Simply Red",199040,"False",2008,58,0.791,"rock; R&B; Folk/Acoustic; pop"
"Never Leave You (Uh Oooh; Uh Oooh)","Lumidee",184906,"False",2003,61,0.811,"pop; R&B"
"Sound Of The Underground","Girls Aloud",221426,"False",2003,58,0.568,"pop; Dance/Electronic"
"Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster","Nelly",293666,"False",2016,52,0.527,"hip hop; pop; R&B"
"Make Luv","Room 5",212413,"False",2003,57,0.883,"Dance/Electronic"
"Be Faithful","Fatman Scoop",164506,"True",2009,49,0.649,"hip hop"
"Behind Blue Eyes","Limp Bizkit",269973,"False",2003,70,0.595,"metal"
"Too Lost In You","Sugababes",237693,"False",2003,58,0.586,"pop; R&B"
"Wanksta - From ""8 Mile"" Soundtrack","50 Cent",219400,"True",2003,57,0.802,"hip hop; pop"
"Frontin' (feat. Jay-Z) - Club Mix","Pharrell Williams",236506,"True",2003,67,0.894,"hip hop; pop"
"Right Thurr","Chingy",250746,"True",2003,69,0.866,"hip hop; pop; R&B"
"Sing For The Moment","Eminem",339546,"True",2002,71,0.668,"hip hop"
"The Jump Off (feat. Mr. Cheeks) - Remix","Lil' Kim",234800,"True",2003,48,0.853,"hip hop; pop; R&B"
"My Love Is Like...Wo - Main Mix","Mýa",209533,"False",2003,48,0.831,"pop; R&B"
"21 Questions","50 Cent",224440,"True",2003,72,0.646,"hip hop; pop"
"Air Force Ones","Nelly",304000,"True",2002,61,0.784,"hip hop; pop; R&B"
"Gossip Folks (feat. Ludacris)","Missy Elliott",234893,"True",2002,57,0.707,"hip hop; pop; R&B"
"Jump","Girls Aloud",220360,"False",2003,60,0.658,"pop; Dance/Electronic"
"Pretty Green Eyes - Radio Edit","Ultrabeat",201920,"False",2003,59,0.553,"pop; Dance/Electronic"
"Fighter","Christina Aguilera",245960,"False",2002,67,0.435,"pop"
"Don't Wanna Try","Frankie J",245293,"False",2003,49,0.655,"hip hop; pop; R&B"
"Beautiful","Snoop Dogg",299146,"True",2005,67,0.893,"hip hop; pop"
"Say Yes","Floetry",268373,"False",2002,57,0.747,"hip hop; pop; R&B"
"In Those Jeans","Ginuwine",243306,"True",2003,59,0.691,"hip hop; pop; R&B"
"Danger! High Voltage - Soulchild Radio Mix","Electric Six",214600,"False",2003,0,0.66,"rock"
"Sweet Dreams My LA Ex - Radio Edit","Rachel Stevens",208386,"False",2003,38,0.85,"pop; Dance/Electronic"
"Stand Up","Ludacris",213760,"True",2003,57,0.751,"hip hop; pop"
"I Can","Nas",253720,"False",2002,58,0.837,"hip hop"
"When I'm Gone","3 Doors Down",260333,"False",2002,67,0.53,"pop; rock; metal"
"How You Gonna Act Like That","Tyrese",294693,"False",2002,60,0.733,"hip hop; pop; R&B"
"Cry Me a River","Justin Timberlake",288333,"False",2002,73,0.624,"pop"
"Mandy","Westlife",199320,"False",2003,57,0.447,"pop"
"It's My Life","No Doubt",226053,"False",2003,60,0.612,"rock; pop"
"Angel","Amanda Perez",218760,"False",2003,48,0.638,"pop; R&B"
"Excuse Me Miss","JAY-Z",281240,"True",2002,56,0.714,"hip hop"
"Clocks","Coldplay",307879,"False",2002,79,0.577,"rock; pop"
"Stole","Kelly Rowland",249293,"False",2002,54,0.649,"hip hop; pop; R&B"
"Work It","Missy Elliott",263226,"True",2002,70,0.884,"hip hop; pop; R&B"
"Rock Wit U (Awww Baby)","Ashanti",209120,"False",2003,65,0.71,"hip hop; pop; R&B"
"Move Your Feet","Junior Senior",181826,"False",2002,67,0.747,"pop"
"Like a Stone","Audioslave",293960,"False",2002,75,0.614,"rock; metal"
"Like Glue","Sean Paul",232506,"False",2002,61,0.757,"hip hop; pop"
"Put That Woman First","Jaheim",245773,"True",2002,55,0.649,"pop; R&B"
"All I Have (feat. LL Cool J)","Jennifer Lopez",254466,"False",2002,60,0.701,"hip hop; pop; R&B"
"So Gone","Monica",242773,"False",2003,64,0.618,"pop; R&B"
"White Flag","Dido",240040,"False",2003,44,0.512,"pop"
"The Seed (2.0)","The Roots",267933,"True",2002,63,0.758,"hip hop"
"Holidae In","Chingy",314400,"True",2003,61,0.81,"hip hop; pop; R&B"
"Can't Let You Go (feat. Mike Shorey & Lil' Mo)","Fabolous",223973,"True",2003,61,0.646,"hip hop; pop; R&B"
"Miss Independent","Kelly Clarkson",214773,"False",2003,47,0.656,"pop; R&B"
"Mesmerize","Ja Rule",278693,"True",2002,61,0.769,"hip hop; pop; R&B"
"Unwell","Matchbox Twenty",228706,"False",2002,63,0.256,"pop; rock"
"The Way You Move (feat. Sleepy Brown)","Outkast",234000,"True",2003,66,0.871,"hip hop; pop"
"Into You (feat. Tamia)","Fabolous",295773,"True",2003,67,0.546,"hip hop; pop; R&B"
"Meant to Live","Switchfoot",201373,"False",2003,61,0.397,"rock; pop"
"If You're Not The One","Daniel Bedingfield",257026,"False",2002,58,0.688,"pop"
"Lifestyles of the Rich & Famous","Good Charlotte",190173,"False",2002,68,0.62,"rock; metal"
"No Letting Go","Wayne Wonder",202013,"False",2003,63,0.496,"hip hop; R&B"
"Reptilia","The Strokes",219826,"False",2003,74,0.489,"rock"
"I'm with You","Avril Lavigne",223066,"False",2002,70,0.457,"pop"
"Leave Right Now","Will Young",214733,"False",2003,55,0.641,"pop"
"Yeah! (feat. Lil Jon & Ludacris)","Usher",250373,"False",2004,81,0.894,"hip hop; pop; R&B"
"This Love","Maroon 5",206200,"False",2002,77,0.712,"pop"
"Toxic","Britney Spears",198800,"False",2003,81,0.774,"pop"
"Hey Ya!","Outkast",235213,"False",2003,80,0.727,"hip hop; pop"
"The Reason","Hoobastank",232800,"False",2003,79,0.472,"pop; rock; metal"
"Left Outside Alone","Anastacia",257426,"False",2004,65,0.663,"pop"
"Gasolina","Daddy Yankee",192600,"False",2004,11,0.857,"latin"
"Let's Get It Started - Spike Mix","Black Eyed Peas",217733,"False",2004,53,0.785,"hip hop; pop"
"Dragostea Din Tei","O-Zone",215431,"False",2004,56,0.809,"pop"
"Lean Back","Terror Squad",247426,"True",2004,67,0.783,"hip hop"
"Sick and Tired","Anastacia",212266,"False",1999,56,0.598,"pop"
"What You Waiting For?","Gwen Stefani",221226,"False",2004,60,0.676,"pop; R&B"
"Only U - No Intro","Ashanti",186306,"False",2004,56,0.601,"hip hop; pop; R&B"
"In the Shadows","The Rasmus",257920,"False",2003,68,0.6,"metal"
"I Like That","Houston",236520,"False",2004,59,0.797,"hip hop; pop"
"Naughty Girl","Beyoncé",208600,"False",2003,63,0.735,"pop; R&B"
"Numb","Linkin Park",185586,"False",2003,81,0.496,"rock; metal"
"On Fire","Lloyd Banks",187280,"True",2004,61,0.759,"hip hop; pop"
"Locked Up","Akon",235066,"True",2004,16,0.818,"pop"
"My Band","D12",298773,"True",2004,73,0.851,"hip hop; pop; rock"
"Eyes On You - Radio Mix","Jay Sean",190493,"False",2004,42,0.802,"hip hop; pop; R&B"
"I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster","Mario Winans",257333,"False",2016,66,0.833,"pop"
"Lose My Breath","Destiny's Child",242013,"False",2004,61,0.814,"pop; R&B"
"Call on Me - Radio Mix","Eric Prydz",171360,"False",2004,72,0.597,"pop; Dance/Electronic"
"Goodies (feat. Petey Pablo)","Ciara",223000,"False",2004,67,0.826,"pop; R&B"
"Trick Me","Kelis",206106,"True",2003,63,0.97,"pop; R&B; Dance/Electronic"
"Headsprung","LL Cool J",267320,"False",2004,56,0.718,"hip hop; pop; R&B"
"Black Betty - Edit","Spiderbait",205973,"False",2004,63,0.562,"rock"
"Amazing","George Michael",265826,"False",2004,57,0.805,"set()"
"My Prerogative","Britney Spears",213893,"False",2004,53,0.749,"pop"
"Move Ya Body","Nina Sky",232000,"False",2004,67,0.87,"pop; R&B"
"Suga Suga","Baby Bash",239026,"False",2003,73,0.662,"hip hop; pop; R&B; latin"
"Freek-A-Leek","Petey Pablo",235186,"True",2003,56,0.737,"hip hop; pop"
"Dirt Off Your Shoulder","JAY-Z",245173,"True",2003,53,0.779,"hip hop"
"La Camisa Negra","Juanes",216706,"False",2004,70,0.751,"pop; latin"
"Nobody's Home","Avril Lavigne",212413,"False",2004,61,0.348,"pop"
"Radio","Robbie Williams",233600,"False",2004,33,0.607,"pop; rock"
"Hey Mama","Black Eyed Peas",214893,"True",2003,49,0.86,"hip hop; pop"
"Salt Shaker","Ying Yang Twins",252440,"True",2003,61,0.884,"hip hop; pop"
"Not In Love - Radio Mix","Enrique Iglesias",223133,"False",2003,37,0.762,"pop; latin"
"Milkshake","Kelis",182626,"False",2003,68,0.881,"pop; R&B; Dance/Electronic"
"Breaking the Habit","Linkin Park",196906,"False",2003,68,0.579,"rock; metal"
"Leave (Get Out) - Radio Edit","JoJo",242746,"False",2005,49,0.656,"hip hop; pop; R&B"
"Dip It Low","Christina Milian",197186,"False",2004,45,0.752,"hip hop; pop; R&B"
"Read Your Mind","Avant",263506,"False",2003,56,0.755,"pop; R&B"
"Just Lose It","Eminem",248680,"True",2004,67,0.94,"hip hop"
"Too Lost In You","Sugababes",237693,"False",2003,58,0.586,"pop; R&B"
"Drop It Like It's Hot","Snoop Dogg",266066,"True",2004,39,0.892,"hip hop; pop"
"I'm Still in Love with You (feat. Sasha)","Sean Paul",273360,"False",2002,68,0.765,"hip hop; pop"
"Lola's Theme - Radio Edit","The Shapeshifters",207066,"False",2004,65,0.748,"Dance/Electronic"
"How Come","D12",249533,"True",2004,57,0.745,"hip hop; pop; rock"
"Good Luck","Basement Jaxx",282306,"False",2003,0,0.571,"pop; Dance/Electronic"
"Turn Me On","Kevin Lyttle",192106,"False",2004,67,0.677,"hip hop"
"One Call Away","Chingy",276800,"False",2003,61,0.765,"hip hop; pop; R&B"
"Bring Em Out","T.I.",216706,"True",2004,63,0.759,"hip hop; pop"
"Cha Cha Slide - Hardino Mix","DJ Casper",222146,"False",2004,51,0.853,"set()"
"I Believe in You","Kylie Minogue",200973,"False",2004,47,0.548,"pop; Dance/Electronic"
"Overnight Celebrity","Twista",233360,"True",2004,66,0.828,"hip hop; pop; R&B"
"She Wants To Move","N.E.R.D",213786,"False",2004,57,0.766,"hip hop"
"Everytime","Britney Spears",230306,"False",2003,63,0.398,"pop"
"Vertigo","U2",193520,"False",2004,64,0.416,"World/Traditional; rock"
"Take Me Out","Franz Ferdinand",237026,"False",2004,77,0.277,"rock"
"Tipsy - Club Mix","J-Kwon",247106,"True",2001,59,0.925,"hip hop; pop"
"Wanna Get To Know You","G-Unit",265026,"True",2003,61,0.513,"hip hop; pop"
"Sunshine (feat. Lea)","Lil' Flip",225173,"True",2004,42,0.814,"hip hop; pop"
"Jesus Walks","Kanye West",193733,"True",2004,73,0.637,"hip hop"
"My Immortal","Evanescence",262533,"False",2003,72,0.19,"metal"
"My Place","Nelly",336506,"True",2004,57,0.6,"hip hop; pop; R&B"
"If There's Any Justice","Lemar",229080,"False",2004,46,0.706,"R&B"
"It's My Life","No Doubt",226053,"False",2003,60,0.612,"rock; pop"
"Don't Tell Me","Avril Lavigne",202013,"False",2004,58,0.523,"pop"
"Slow Jamz","Twista",316053,"True",2004,72,0.559,"hip hop; pop; R&B"
"American Idiot","Green Day",176346,"True",2004,77,0.38,"rock"
"Millionaire","Kelis",224933,"False",2003,57,0.68,"pop; R&B; Dance/Electronic"
"Comfortably Numb","Scissor Sisters",266040,"False",2004,43,0.803,"pop; rock; Dance/Electronic"
"Diary (feat. Tony! Toni! Tone! & Jermaine Paul)","Alicia Keys",284160,"False",2003,55,0.663,"pop; R&B"
"Through The Wire","Kanye West",221226,"True",2004,76,0.571,"hip hop"
"Come With Me - Radio Edit","Special D.",185133,"False",2004,61,0.739,"pop"
"Splash Waterfalls","Ludacris",290760,"True",2003,48,0.734,"hip hop; pop"
"My Happy Ending","Avril Lavigne",242413,"True",2004,68,0.414,"pop"
"White Flag","Dido",240040,"False",2003,44,0.512,"pop"
"Fuck It (I Don't Want You Back)","Eamon",225106,"True",2004,64,0.828,"set()"
"Me; Myself and I","Beyoncé",301133,"False",2003,62,0.75,"pop; R&B"
"Here Without You","3 Doors Down",238733,"False",2002,74,0.557,"pop; rock; metal"
"All Falls Down","Kanye West",223506,"True",2004,80,0.657,"hip hop"
"Sunshine (feat. Anthony Hamilton)","Twista",226013,"True",2004,56,0.926,"hip hop; pop; R&B"
"The Closest Thing to Crazy","Katie Melua",252466,"False",2003,55,0.562,"pop; easy listening; jazz"
"My Boo","Usher",223440,"False",2004,76,0.662,"hip hop; pop; R&B"
"Southside","Lloyd",277840,"False",2004,59,0.688,"hip hop; pop; R&B"
"Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit","LMC",171546,"False",2004,59,0.668,"Dance/Electronic"
"Fit but You Know It","The Streets",254266,"True",2004,58,0.68,"hip hop; Dance/Electronic"
"Slow Motion","JUVENILE",248200,"True",2003,64,0.713,"hip hop; pop"
"The Way You Move (feat. Sleepy Brown)","Outkast",234000,"True",2003,66,0.871,"hip hop; pop"
"Love Machine","Girls Aloud",205360,"False",2004,59,0.663,"pop; Dance/Electronic"
"With You","Jessica Simpson",191826,"False",2003,57,0.553,"pop; R&B"
"Like Toy Soldiers","Eminem",296880,"True",2004,48,0.52,"hip hop"
"Mad World (Feat. Michael Andrews)","Gary Jules",189506,"False",2001,65,0.345,"pop"
"Pieces Of Me","Ashlee Simpson",217440,"False",2004,56,0.505,"pop"
"Leave Right Now","Will Young",214733,"False",2003,55,0.641,"pop"
"You Don't Know My Name","Alicia Keys",366733,"False",2003,61,0.264,"pop; R&B"
"We Belong Together","Mariah Carey",201400,"False",2005,69,0.84,"pop; R&B"
"Let Me Love You","Mario",256733,"False",2004,72,0.656,"pop; R&B"
"Gold Digger","Kanye West",207626,"True",2005,78,0.629,"hip hop"
"Pon de Replay","Rihanna",246960,"False",2005,77,0.779,"hip hop; pop; R&B"
"Candy Shop","50 Cent",209106,"True",2005,79,0.614,"hip hop; pop"
"You're Beautiful","James Blunt",209493,"True",2005,75,0.675,"pop"
"Boulevard of Broken Dreams","Green Day",261266,"True",2004,72,0.49,"rock"
"Don't Cha","The Pussycat Dolls",272080,"False",2005,72,0.875,"pop; R&B"
"Bad Day","Daniel Powter",233640,"False",2005,74,0.599,"pop"
"Bananza (Belly Dancer)","Akon",238493,"False",2004,28,0.878,"pop"
"Hung Up","Madonna",337733,"False",2005,74,0.649,"pop"
"Just A Lil Bit","50 Cent",237706,"True",2005,76,0.489,"hip hop; pop"
"Axel F","Crazy Frog",168879,"False",2005,67,0.86,"pop"
"Ass Like That","Eminem",265480,"True",2004,52,0.646,"hip hop"
"We Be Burnin'","Sean Paul",213066,"False",2005,59,0.95,"hip hop; pop"
"Rich Girl","Gwen Stefani",236213,"False",2004,68,0.856,"pop; R&B"
"Galvanize","The Chemical Brothers",393813,"False",2005,63,0.745,"Dance/Electronic"
"Remember the Name (feat. Styles of Beyond)","Fort Minor",230493,"True",2005,73,0.688,"hip hop; pop; rock"
"Disco Inferno","50 Cent",214226,"True",2005,72,0.925,"hip hop; pop"
"How We Do","The Game",235533,"True",2005,74,0.862,"hip hop; pop"
"Run It! (feat. Juelz Santana)","Chris Brown",229866,"False",2005,71,0.846,"hip hop; pop; R&B"
"It's Like That","Mariah Carey",203360,"False",2005,0,0.8,"pop; R&B"
"My Humps","Black Eyed Peas",326960,"False",2005,67,0.802,"hip hop; pop"
"Oh (feat. Ludacris)","Ciara",256346,"False",2004,61,0.8,"pop; R&B"
"Outta Control - Remix","50 Cent",247506,"True",2005,60,0.772,"hip hop; pop"
"Baby; I'm Back","Baby Bash",219920,"True",2005,4,0.899,"hip hop; pop; R&B; latin"
"Get Right","Jennifer Lopez",225533,"False",2005,65,0.741,"hip hop; pop; R&B"
"Numb / Encore","JAY-Z",205733,"True",2004,76,0.687,"hip hop"
"Hate It Or Love It","The Game",206400,"True",2005,77,0.802,"hip hop; pop"
"Feel Good Inc.","Gorillaz",222640,"False",2005,82,0.818,"hip hop"
"Don't Phunk With My Heart","Black Eyed Peas",239773,"False",2005,62,0.69,"hip hop; pop"
"Lonely","Akon",235800,"True",2004,21,0.629,"pop"
"I Like The Way - Radio Edit","Bodyrockers",200053,"False",2005,54,0.642,"rock; Dance/Electronic"
"Push The Button","Sugababes",218093,"False",2005,64,0.962,"pop; R&B"
"Soul Survivor","Jeezy",280013,"True",2005,55,0.684,"hip hop; pop"
"Mockingbird","Eminem",250760,"True",2004,77,0.637,"hip hop"
"La Tortura (feat. Alejandro Sanz)","Shakira",212893,"False",2005,72,0.74,"pop; latin"
"DARE","Gorillaz",244999,"False",2005,73,0.76,"hip hop"
"Signs","Snoop Dogg",236813,"True",2004,54,0.94,"hip hop; pop"
"Tripping","Robbie Williams",276603,"False",2005,58,0.666,"pop; rock"
"Play","David Banner",230133,"True",2005,52,0.837,"hip hop; pop"
"Some Cut","Trillville",283454,"True",2004,50,0.9,"hip hop; pop"
"Laffy Taffy","D4L",224253,"True",2005,63,0.891,"hip hop; pop"
"Lose Control (feat. Ciara & Fat Man Scoop)","Missy Elliott",226863,"True",2005,67,0.904,"hip hop; pop; R&B"
"Lonely No More","Rob Thomas",226640,"False",2005,56,0.551,"pop; Folk/Acoustic"
"Almost Here","Brian McFadden",229826,"False",2004,42,0.561,"set()"
"Slow Down - 12"" Version","Bobby V.",258666,"False",2005,65,0.568,"hip hop; pop; R&B"
"Incomplete","Backstreet Boys",239586,"False",2005,63,0.437,"pop"
"Grind With Me","Pretty Ricky",237733,"True",2005,63,0.7,"hip hop; pop; R&B"
"Diamonds From Sierra Leone - Remix","Kanye West",233400,"True",2005,61,0.672,"hip hop"
"Drop It Like It's Hot","Snoop Dogg",266066,"True",2004,39,0.892,"hip hop; pop"
"Get It Poppin' (feat. Nelly) - Radio Version","Fat Joe",211320,"False",2005,41,0.905,"hip hop; pop"
"Soldier (feat. T.I. & Lil' Wayne)","Destiny's Child",325573,"False",2004,63,0.878,"pop; R&B"
"1; 2 Step (feat. Missy Elliott) - Main","Ciara",202213,"False",2005,52,0.939,"pop; R&B"
"1 Thing","Amerie",238746,"False",2008,52,0.636,"hip hop; pop; R&B"
"Get Back","Ludacris",270746,"True",2004,59,0.555,"hip hop; pop"
"Do You Want To","Franz Ferdinand",215000,"False",2005,61,0.412,"rock"
"Shiver","Natalie Imbruglia",222653,"False",2005,52,0.489,"pop; Folk/Acoustic"
"Hollaback Girl","Gwen Stefani",199853,"True",2004,69,0.926,"pop; R&B"
"Your Body","Pretty Ricky",240040,"True",2005,59,0.838,"hip hop; pop; R&B"
"The Kill","Thirty Seconds To Mars",231533,"False",2005,74,0.179,"rock"
"Karma","Alicia Keys",256000,"False",2003,50,0.727,"pop; R&B"
"Ghetto Gospel","2Pac",238053,"True",2004,68,0.794,"hip hop"
"Don't Love You No More (I'm Sorry)","Craig David",243986,"False",2005,56,0.636,"hip hop; pop; R&B"
"Nine Million Bicycles","Katie Melua",197160,"False",2005,60,0.534,"pop; easy listening; jazz"
"Lovers And Friends","Lil Jon & The East Side Boyz",260600,"True",2004,66,0.675,"hip hop; pop"
"Don't Forget About Us - Radio Edit","Mariah Carey",233866,"False",2005,0,0.7,"pop; R&B"
"Wait (The Whisper Song)","Ying Yang Twins",179160,"True",2005,57,0.933,"hip hop; pop"
"Switch","Will Smith",197666,"False",2020,34,0.873,"hip hop; pop"
"Like You (feat. Ciara)","Bow Wow",205840,"False",2005,66,0.714,"hip hop; pop; R&B"
"Everyday I Love You Less And Less","Kaiser Chiefs",217706,"False",2005,58,0.49,"rock"
"Behind These Hazel Eyes","Kelly Clarkson",198973,"False",2004,59,0.548,"pop; R&B"
"Don't Lie","Black Eyed Peas",219000,"False",2005,61,0.662,"hip hop; pop"
"You Raise Me Up","Westlife",241066,"False",2005,1,0.129,"pop"
"One Wish","Ray J",337640,"False",2005,62,0.525,"hip hop; pop; R&B"
"Scars","Papa Roach",208199,"False",2004,60,0.455,"rock; metal"
"I Bet You Look Good On The Dancefloor","Arctic Monkeys",173680,"False",2006,71,0.535,"rock"
"That's My Goal","Shayne Ward",219600,"False",2006,1,0.286,"pop"
"Let Me Hold You (feat. Omarion)","Bow Wow",248493,"False",2005,62,0.815,"hip hop; pop; R&B"
"I Predict A Riot","Kaiser Chiefs",233186,"False",2005,63,0.395,"rock"
"Caught Up","Usher",224640,"False",2004,61,0.817,"hip hop; pop; R&B"
"Because of You","Kelly Clarkson",219493,"False",2004,71,0.587,"pop; R&B"
"Let Me Go","3 Doors Down",243053,"False",2012,52,0.478,"pop; rock; metal"
"Photograph","Nickelback",258920,"False",2005,67,0.515,"rock; metal"
"I'm Sprung","T-Pain",231040,"False",2005,0,0.722,"hip hop; pop; R&B"
"Cater 2 U","Destiny's Child",245400,"False",2004,58,0.605,"pop; R&B"
"Stickwitu","The Pussycat Dolls",207506,"False",2005,67,0.548,"pop; R&B"
"True","Ryan Cabrera",204173,"False",2004,62,0.598,"pop"
"Dakota","Stereophonics",297426,"False",2005,69,0.506,"rock; pop"
"Like Toy Soldiers","Eminem",296880,"True",2004,67,0.52,"hip hop"
"Over And Over","Nelly",253933,"True",2004,61,0.644,"hip hop; pop; R&B"
"Speed of Sound","Coldplay",287906,"False",2005,69,0.514,"rock; pop"
"Suddenly I See","KT Tunstall",201706,"False",2005,71,0.587,"World/Traditional; pop; Folk/Acoustic"
"Girl","Destiny's Child",224146,"False",2004,55,0.567,"pop; R&B"
"Since U Been Gone","Kelly Clarkson",188960,"False",2004,71,0.662,"pop; R&B"
"Sometimes You Can't Make It On Your Own","U2",305080,"False",2004,56,0.53,"World/Traditional; rock"
"Dirty Little Secret","The All-American Rejects",193653,"False",2005,65,0.469,"rock; pop"
"As Good As I Once Was","Toby Keith",227840,"False",2005,67,0.68,"country"
"Cool","Gwen Stefani",189333,"False",2004,59,0.709,"pop; R&B"
"Best of You","Foo Fighters",255626,"False",2005,76,0.366,"rock; metal"
"Hips Don't Lie (feat. Wyclef Jean)","Shakira",218093,"False",2005,82,0.778,"pop; latin"
"Temperature","Sean Paul",218573,"False",2005,78,0.951,"hip hop; pop"
"SexyBack (feat. Timbaland)","Justin Timberlake",242733,"True",2006,78,0.967,"pop"
"Irreplaceable","Beyoncé",227853,"False",2007,70,0.447,"pop; R&B"
"Rehab","Amy Winehouse",214946,"False",2006,71,0.407,"R&B"
"SOS","Rihanna",238920,"False",2006,73,0.677,"hip hop; pop; R&B"
"Crazy","Gnarls Barkley",177466,"False",2006,74,0.855,"hip hop; R&B"
"Touch It","Busta Rhymes",214960,"True",2006,61,0.658,"hip hop; pop"
"Maneater","Nelly Furtado",258893,"False",2006,79,0.796,"hip hop; pop; latin"
"Rock This Party - Everybody Dance Now","Bob Sinclar",245466,"False",2006,69,0.893,"pop; Dance/Electronic"
"Come to Me (feat. Nicole Scherzinger)","Diddy",276786,"True",2006,55,0.819,"hip hop; pop"
"Sorry","Madonna",281880,"False",2005,61,0.589,"pop"
"Ridin'","Chamillionaire",303053,"True",2005,71,0.787,"hip hop; pop"
"Pump It","Black Eyed Peas",213066,"False",2005,75,0.648,"hip hop; pop"
"Promiscuous","Nelly Furtado",242293,"False",2006,82,0.808,"hip hop; pop; latin"
"Put Your Hands Up for Detroit - Radio Edit","Fedde Le Grand",150533,"False",2015,39,0.814,"pop; Dance/Electronic"
"(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version","Sean Paul",243880,"False",2006,58,0.711,"hip hop; pop"
"Buttons","The Pussycat Dolls",225560,"False",2005,68,0.565,"pop; R&B"
"Get Up (feat. Chamillionaire)","Ciara",261880,"False",2006,59,0.964,"pop; R&B"
"Shake That","Eminem",274440,"True",2005,74,0.963,"hip hop"
"Do It To It","Cherish",226293,"False",2006,65,0.826,"hip hop; pop; R&B"
"Supermassive Black Hole","Muse",212439,"False",2006,75,0.668,"rock"
"Gimme That","Chris Brown",186826,"False",2005,63,0.678,"hip hop; pop; R&B"
"From Paris to Berlin","Infernal",209666,"False",2004,57,0.741,"pop"
"Me & U","Cassie",192213,"False",2006,73,0.803,"pop; R&B"
"U and Dat (feat. T. Pain & Kandi Girl)","E-40",202720,"True",2006,63,0.858,"hip hop; pop"
"Beep","The Pussycat Dolls",229360,"False",2005,57,0.938,"pop; R&B"
"Snap Yo Fingers","Lil Jon",274386,"False",2006,67,0.835,"hip hop; pop"
"My My My - Radio Edit","Armand Van Helden",190000,"False",2006,40,0.678,"pop; Dance/Electronic"
"Nasty Girl (feat. Diddy; Nelly; Jagged Edge & Avery Storm) - 2005 Remaster","The Notorious B.I.G.",286186,"True",2005,68,0.833,"hip hop"
"It's Goin' Down (feat. Nitti)","Yung Joc",241840,"True",2006,66,0.888,"hip hop; pop"
"No Promises","Shayne Ward",223066,"False",2006,1,0.5,"pop"
"My Love (feat. T.I.)","Justin Timberlake",276160,"False",2006,72,0.771,"pop"
"Savin' Me","Nickelback",219320,"False",2005,65,0.441,"rock; metal"
"Grillz","Nelly",271160,"False",2005,60,0.867,"hip hop; pop; R&B"
"Patience","Take That",202066,"False",2006,64,0.309,"pop"
"London Bridge","Fergie",241306,"True",2006,57,0.769,"pop; R&B"
"Everytime We Touch - Radio Edit","Cascada",199120,"False",2011,0,0.64,"hip hop; pop; Dance/Electronic"
"Laffy Taffy","D4L",224253,"True",2005,63,0.891,"hip hop; pop"
"Control Myself","LL Cool J",233973,"False",2006,42,0.825,"hip hop; pop; R&B"
"Deja Vu (feat. Jay-Z)","Beyoncé",240280,"False",2007,57,0.644,"pop; R&B"
"Stupid Girls","P!nk",197173,"True",2006,0,0.683,"pop"
"When I'm Gone","Eminem",281320,"True",2005,68,0.618,"hip hop"
"Bossy","Kelis",273973,"False",2006,50,0.906,"pop; R&B; Dance/Electronic"
"Love Generation - Radio Edit","Bob Sinclar",207613,"False",2005,49,0.715,"pop; Dance/Electronic"
"Thunder in My Heart Again (Radio Edit)","Meck",189800,"False",2005,46,0.679,"set()"
"Be Without You - Kendu Mix","Mary J. Blige",246333,"True",2005,69,0.726,"pop; R&B"
"Something Kinda Ooooh","Girls Aloud",201590,"False",2012,49,0.681,"pop; Dance/Electronic"
"Unfaithful","Rihanna",226973,"False",2006,70,0.588,"hip hop; pop; R&B"
"Touch The Sky","Kanye West",236600,"True",2005,73,0.552,"hip hop"
"Lean Wit It; Rock Wit It","Dem Franchize Boyz",229813,"True",2006,60,0.886,"hip hop; pop"
