"song","artist","duration_ms","explicit","year","popularity","danceability","genre"
"Jumpin'; Jumpin'","Destiny's Child",230200,"False",1999,70,0.771,"pop; R&B"
"That's the Way It Is","Céline Dion",241373,"False",1999,64,0.634,"pop"
"Kryptonite","3 Doors Down",233933,"False",2000,78,0.545,"pop; rock; metal"
"I Wish","Carl Thomas",226760,"False",2000,52,0.736,"pop; R&B"
"Shake Ya Ass","Mystikal",256973,"True",2000,57,0.914,"hip hop; pop"
"Hemorrhage (In My Hands)","Fuel",236866,"False",2000,49,0.313,"rock; pop; metal"
"Where I Wanna Be","Donell Jones",253626,"False",1999,57,0.664,"pop; R&B"
"Crash and Burn","Savage Garden",281466,"False",1999,54,0.581,"pop"
"My Love","Westlife",231760,"False",2000,68,0.491,"pop"
"Pure Shores","All Saints",268746,"False",2000,62,0.631,"pop"
"Independent Women; Pt. 1","Destiny's Child",221133,"False",2001,65,0.73,"pop; R&B"
"It's Gonna Be Me","*NSYNC",191040,"False",2000,60,0.644,"pop"
"Bag Lady","Erykah Badu",348893,"False",2000,54,0.724,"hip hop; R&B"
"You Sang To Me","Marc Anthony",347106,"False",1999,56,0.578,"pop; latin"
"Bent","Matchbox Twenty",256133,"False",2000,54,0.518,"pop; rock"
"Rise","Gabrielle",219093,"False",2001,60,0.558,"pop; R&B"
"Shape of My Heart","Backstreet Boys",230093,"False",2000,70,0.575,"pop"
"With Arms Wide Open","Creed",274800,"False",1999,64,0.41,"pop; rock; metal"
"Breathless","The Corrs",207506,"False",2000,68,0.607,"pop; Folk/Acoustic"
"I Wanna Know","Joe",296693,"False",2000,65,0.725,"pop; R&B"
"Teenage Dirtbag","Wheatus",241666,"True",1999,71,0.625,"set()"
"Come on over Baby (All I Want Is You) - Radio Version","Christina Aguilera",203333,"False",1999,64,0.829,"pop"
"Higher","Creed",316733,"False",1999,69,0.459,"pop; rock; metal"
"Lucky","Britney Spears",206226,"False",2000,65,0.765,"pop"
"Country Grammar (Hot Shit)","Nelly",287000,"True",2000,68,0.865,"hip hop; pop; R&B"
"It Wasn't Me","Shaggy",227600,"False",2000,76,0.853,"hip hop; pop"
"Survivor","Destiny's Child",254026,"False",2001,70,0.514,"pop; R&B"
"Stan","Eminem",404106,"True",2000,83,0.78,"hip hop"
"Can't Get You out of My Head","Kylie Minogue",230640,"False",2001,73,0.766,"pop; Dance/Electronic"
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack","Christina Aguilera",264893,"False",2001,68,0.76,"pop"
"I'm Like A Bird","Nelly Furtado",243160,"False",2000,1,0.622,"hip hop; pop; latin"
"Whenever; Wherever","Shakira",196160,"False",2001,74,0.794,"pop; latin"
"The Middle","Jimmy Eat World",165853,"False",2001,78,0.643,"rock; pop"
"Drops of Jupiter (Tell Me)","Train",259933,"False",2001,77,0.481,"pop"
"It's Raining Men","Geri Halliwell",254640,"False",2001,62,0.637,"pop"
"Hit 'Em Up Style (Oops!)","Blu Cantrell",250706,"False",2001,71,0.667,"pop; R&B"
"I'm a Slave 4 U","Britney Spears",203600,"False",2001,69,0.847,"pop"
"In Your Eyes","Kylie Minogue",197826,"False",2001,62,0.689,"pop; Dance/Electronic"
"One Minute Man (feat. Ludacris)","Missy Elliott",252986,"True",2001,57,0.622,"hip hop; pop; R&B"
"Family Affair","Mary J. Blige",265866,"False",2001,76,0.911,"pop; R&B"
"We Come 1 - Radio Edit","Faithless",222435,"False",2015,53,0.645,"pop; Dance/Electronic"
"Rollin' (Air Raid Vehicle)","Limp Bizkit",213760,"True",2000,73,0.603,"metal"
"Something","Lasgo",220973,"False",2001,65,0.643,"pop"
"Rapture (feat.Nadia Ali)","iio",253586,"False",2006,54,0.661,"Dance/Electronic"
"What Took You So Long?","Emma Bunton",241000,"False",2001,54,0.668,"pop"
"It's Over Now",112,264933,"False",2001,57,0.66,"hip hop; pop; R&B"
"All Rise","Blue",223546,"False",2001,63,0.721,"pop"
"Irresistible","Jessica Simpson",194026,"False",2001,43,0.657,"pop; R&B"
"Butterfly","Crazy Town",216733,"False",1999,71,0.736,"rock; metal"
"You Rock My World","Michael Jackson",337733,"False",2001,64,0.854,"pop; R&B"
"Let Me Blow Ya Mind","Eve",230133,"True",2001,73,0.908,"hip hop; pop; R&B"
"Ain't It Funny","Jennifer Lopez",246160,"False",2001,0,0.707,"hip hop; pop; R&B"
"Another Day in Paradise - R&B-Version","Brandy",271626,"False",2002,50,0.7,"hip hop; pop; R&B"
"How You Remind Me","Nickelback",223840,"False",2001,78,0.446,"rock; metal"
"One More Time","Daft Punk",320357,"False",2001,76,0.613,"hip hop; Dance/Electronic"
"Ms. Jackson","Outkast",270506,"True",2000,82,0.843,"hip hop; pop"
"Everytime You Need Me - Radio Version","Fragma",213346,"False",2001,50,0.682,"pop; Dance/Electronic"
"Loverboy","Mariah Carey",229173,"False",2001,42,0.721,"pop; R&B"
"Thank You","Dido",218360,"False",1999,73,0.725,"pop"
"Stutter (feat. Mystikal) - Double Take Remix","Joe",213026,"False",2000,57,0.767,"pop; R&B"
"Youth of the Nation","P.O.D.",256240,"False",2001,69,0.563,"rock; metal"
"Play","Jennifer Lopez",211493,"True",2001,57,0.775,"hip hop; pop; R&B"
"Get Ur Freak On","Missy Elliott",211120,"True",2001,68,0.797,"hip hop; pop; R&B"
"Nobody Wants to Be Lonely (with Christina Aguilera)","Ricky Martin",252706,"False",2008,52,0.635,"pop; latin"
"AM To PM","Christina Milian",231213,"False",2001,60,0.872,"hip hop; pop; R&B"
"Another Chance","Roger Sanchez",452906,"False",2000,50,0.61,"Dance/Electronic"
"Clint Eastwood","Gorillaz",340920,"True",2001,74,0.663,"hip hop"
"Until The End Of Time","2Pac",266506,"True",2001,57,0.757,"hip hop"
"Stranger in My House","Tamia",285386,"False",2000,48,0.676,"pop; R&B"
"No More Drama","Mary J. Blige",326240,"False",2001,61,0.653,"pop; R&B"
"Love Don't Cost a Thing","Jennifer Lopez",221226,"False",2001,67,0.786,"hip hop; pop; R&B"
"Little L","Jamiroquai",295400,"False",2001,65,0.878,"pop"
"Missing You","Case",284666,"False",2001,55,0.612,"hip hop; pop; R&B"
"Peaches & Cream",112,193093,"False",2001,63,0.677,"hip hop; pop; R&B"
"Let's Dance - Radio Edit","Five",218626,"False",2001,47,0.631,"pop"
"Touch Me (Radio Edit) [feat. Cassandra]","Rui Da Silva",213133,"False",2001,54,0.464,"Dance/Electronic"
"Smooth Criminal","Alien Ant Farm",209266,"False",2001,75,0.653,"rock; metal"
"Music (feat. Marvin Gaye)","Erick Sermon",223133,"True",2001,57,0.897,"hip hop; pop"
"Purple Pills","D12",304506,"True",2001,68,0.78,"hip hop; pop; rock"
"Pop Ya Collar - Radio Edit","Usher",210813,"False",2016,26,0.888,"hip hop; pop; R&B"
"Don't Tell Me","Madonna",280973,"False",2000,53,0.699,"pop"
"If You Come Back","Blue",207560,"False",2001,58,0.582,"pop"
"Eternal Flame - Single Version","Atomic Kitten",195506,"False",2001,58,0.578,"pop"
"Where the Party At (feat. Nelly)","Jagged Edge",232573,"False",2001,67,0.596,"hip hop; pop; R&B"
"Because I Got High","Afroman",197760,"True",2001,68,0.802,"hip hop"
"Don't Stop Movin'","S Club 7",233626,"False",2001,63,0.822,"pop"
"Fill Me In","Craig David",257200,"False",2000,60,0.682,"hip hop; pop; R&B"
"Turn Off The Light","Nelly Furtado",276106,"False",2000,1,0.587,"hip hop; pop; latin"
"Starlight - Radio Edit","The Supermen Lovers",234400,"False",2001,61,0.739,"Dance/Electronic"
"All I Want - Sunship Radio Edit","Mis-Teeq",207400,"False",2004,46,0.795,"pop; Dance/Electronic"
"Promise","Jagged Edge",246720,"False",2000,56,0.751,"hip hop; pop; R&B"
"Have You Ever","S Club 7",201533,"False",2001,60,0.585,"pop"
"Only Time","Enya",218546,"False",2000,69,0.418,"World/Traditional; Folk/Acoustic"
"There You'll Be","Faith Hill",222120,"False",2001,60,0.321,"pop; country"
"Lovin' Each Day","Ronan Keating",212973,"False",2000,58,0.541,"pop; rock"
"Bootylicious","Destiny's Child",207906,"False",2001,64,0.84,"pop; R&B"
"It's the Way You Make Me Feel","Steps",197360,"False",2000,53,0.573,"pop; Dance/Electronic"
"Heard It All Before","Sunshine Anderson",295826,"False",2001,56,0.697,"pop; R&B"
"Again","Lenny Kravitz",231666,"False",2000,68,0.55,"rock; pop"
"Gotta Get Thru This - D'N'D Radio Edit","Daniel Bedingfield",162333,"False",2002,46,0.836,"pop"
"Point Of View - Radio Edit","DB Boulevard",231166,"False",2018,0,0.676,"Dance/Electronic"
"All For You","Janet Jackson",329933,"False",2001,65,0.753,"pop; R&B"
"Whole Again","Atomic Kitten",185013,"False",2001,66,0.747,"pop"
"Livin' It Up","Ja Rule",257066,"False",2001,64,0.874,"hip hop; pop; R&B"
"Independent Women; Pt. 1","Destiny's Child",221133,"False",2001,65,0.73,"pop; R&B"
"Do You Really Like It? - Radio Edit","DJ Pied Piper & The Masters Of Ceremonies",217120,"False",2001,54,0.847,"Dance/Electronic"
"I'm Real (feat. Ja Rule) - Murder Remix","Jennifer Lopez",262133,"True",2001,66,0.708,"hip hop; pop; R&B"
"Love","Musiq Soulchild",304666,"False",2000,0,0.569,"pop; R&B"
"21 Seconds","So Solid Crew",302826,"True",2001,51,0.607,"Dance/Electronic"
"Eternity","Robbie Williams",302760,"False",2001,48,0.469,"pop; rock"
"Romeo","Basement Jaxx",217493,"False",2001,0,0.713,"pop; Dance/Electronic"
"Southern Hospitality (Featuring Pharrell)","Ludacris",300933,"True",2000,54,0.623,"hip hop; pop"
"Rise","Gabrielle",219093,"False",2001,60,0.558,"pop; R&B"
"Ride Wit Me","Nelly",291781,"True",2000,75,0.85,"hip hop; pop; R&B"
"I'm a Thug","Trick Daddy",254400,"True",2001,59,0.933,"hip hop; pop"
"Sing","Travis",228800,"False",2001,68,0.33,"rock; pop"
"Izzo (H.O.V.A.)","JAY-Z",240626,"True",2001,63,0.618,"hip hop"
"Out Of Reach","Gabrielle",196986,"False",2001,69,0.51,"pop; R&B"
"Heaven Is a Halfpipe (If I Die)","OPM",257426,"True",2000,56,0.743,"rock"
"Crazy","K-Ci & JoJo",262773,"False",2019,30,0.68,"pop; R&B"
"It's Been Awhile","Staind",264706,"True",2001,64,0.509,"rock; metal"
"No More (Baby I'ma Do Right)","3LW",263440,"False",2000,56,0.721,"pop; R&B"
"Differences","Ginuwine",265533,"False",2001,65,0.562,"hip hop; pop; R&B"
"Gone","*NSYNC",292000,"False",2001,45,0.699,"pop"
"Hanging By A Moment","Lifehouse",216360,"False",2000,61,0.537,"pop; rock; metal"
"Dilemma","Nelly",289160,"True",2002,77,0.727,"hip hop; pop; R&B"
"Without Me","Eminem",290320,"True",2002,87,0.908,"hip hop"
"Complicated","Avril Lavigne",244506,"False",2002,78,0.585,"pop"
"A Thousand Miles","Vanessa Carlton",237493,"False",2002,75,0.56,"Folk/Acoustic; pop"
"Wherever You Will Go","The Calling",208600,"False",2001,72,0.558,"pop"
"Underneath Your Clothes","Shakira",224066,"False",2001,64,0.616,"pop; latin"
"Underneath It All","No Doubt",302720,"False",2001,27,0.729,"rock; pop"
"Addictive","Truth Hurts",226440,"True",2002,58,0.701,"pop; R&B"
"I Know What You Want (feat. Flipmode Squad)","Busta Rhymes",324306,"True",2002,68,0.648,"hip hop; pop"
"'Till I Collapse","Eminem",297786,"True",2002,85,0.548,"hip hop"
"I Need a Girl (Pt. 2) [feat. Loon; Ginuwine & Mario Winans]","Diddy",285586,"False",2004,69,0.713,"hip hop; pop"
"When You Look At Me - Radio Edit","Christina Milian",222546,"False",2001,60,0.955,"hip hop; pop; R&B"
"Die Another Day","Madonna",276360,"False",2003,53,0.792,"pop"
"I'm Gonna Be Alright (feat. Nas)","Jennifer Lopez",172240,"False",2002,53,0.718,"hip hop; pop; R&B"
"If I Could Go! (feat. Lil' Mo & Sacario)","Angie Martinez",244466,"False",2019,40,0.583,"pop"
"In the End","Linkin Park",216880,"False",2000,83,0.556,"rock; metal"
"The Ketchup Song (Aserejé) - Spanglish Version","Las Ketchup",213973,"False",2002,66,0.607,"set()"
"Rock The Boat","Aaliyah",275026,"False",2019,0,0.641,"hip hop; pop; R&B"
"Kiss Kiss","Holly Valance",204400,"False",2002,54,0.705,"pop; Dance/Electronic"
"Round Round","Sugababes",236426,"False",2002,59,0.74,"pop; R&B"
"Tainted Love","Marilyn Manson",200426,"False",2003,60,0.622,"rock; metal"
"What About Us?","Brandy",253200,"False",2002,43,0.686,"hip hop; pop; R&B"
"Hero (feat. Josey Scott)","Chad Kroeger",200480,"False",2003,66,0.427,"metal"
"Overprotected - Radio Edit","Britney Spears",198600,"False",2001,61,0.682,"pop"
"The Logical Song","Scooter",234116,"False",2013,46,0.527,"pop; Dance/Electronic"
"4 My People (feat. Eve)","Missy Elliott",289373,"True",2001,49,0.969,"hip hop; pop; R&B"
"More Than A Woman","Aaliyah",230346,"False",2002,42,0.646,"hip hop; pop; R&B"
"Full Moon","Brandy",248933,"False",2002,52,0.611,"hip hop; pop; R&B"
"One Love","Blue",207186,"False",2002,60,0.683,"pop"
"Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix","Busta Rhymes",238600,"True",2001,55,0.697,"hip hop; pop"
"A New Day Has Come - Radio Remix","Céline Dion",259773,"False",2001,59,0.574,"pop"
"Nessaja","Scooter",208449,"False",2013,47,0.486,"pop; Dance/Electronic"
"Gangsta Lovin'","Eve",239266,"True",2002,58,0.723,"hip hop; pop; R&B"
"Move Bitch","Disturbing Tha Peace",272293,"True",2002,59,0.777,"hip hop; pop"
"My Neck; My Back (Lick It)","Khia",222560,"True",2015,59,0.859,"pop; R&B"
"Oops (Oh My) [feat. Missy Elliott]","Tweet",237800,"True",2002,64,0.66,"hip hop; pop; R&B"
"Spinning Around","Kylie Minogue",207866,"False",2000,55,0.761,"pop; Dance/Electronic"
"Hot In Herre","Nelly",228240,"True",2002,75,0.956,"hip hop; pop; R&B"
"Anyone of Us (Stupid Mistake)","Gareth Gates",227866,"False",2003,53,0.7,"pop"
"Dirrty (feat. Redman)","Christina Aguilera",298853,"False",2002,68,0.64,"pop"
"Uh Huh","B2K",223293,"False",2002,49,0.855,"hip hop; pop; R&B"
"Freak Like Me","Sugababes",195866,"False",2002,45,0.517,"pop; R&B"
"Days Go By","Dirty Vegas",432146,"False",2002,48,0.786,"Dance/Electronic"
"What's Luv? (feat. Ja-Rule & Ashanti)","Fat Joe",267093,"True",2001,73,0.835,"hip hop; pop"
"Just A Little","Liberty X",237359,"False",2019,43,0.786,"pop"
"Hella Good","No Doubt",242586,"False",2001,26,0.771,"rock; pop"
"Luv U Better","LL Cool J",287000,"False",2002,2,0.668,"hip hop; pop; R&B"
"Can't Stop","Red Hot Chili Peppers",269000,"False",2002,80,0.618,"rock"
"Halfcrazy","Musiq Soulchild",254493,"False",2002,58,0.412,"pop; R&B"
"Gimme the Light","Sean Paul",228000,"True",2002,59,0.778,"hip hop; pop"
"I Love You","Faith Evans",267160,"False",2001,53,0.489,"hip hop; pop; R&B"
"Down 4 U","Charli Baltimore",318213,"True",2002,47,0.64,"pop"
"Love at First Sight","Kylie Minogue",238266,"False",2001,55,0.603,"pop; Dance/Electronic"
"Nothin'","N.O.R.E.",264653,"True",2002,58,0.791,"hip hop; pop"
"Unchained Melody","Gareth Gates",233666,"False",2003,35,0.368,"pop"
"I Need a Girl (Pt. 1) [feat. Usher & Loon]","Diddy",268800,"False",2005,63,0.66,"hip hop; pop"
"Nu Flow","Big Brovaz",201480,"False",2001,45,0.783,"pop"
"Hey Baby","No Doubt",207040,"False",2001,24,0.705,"rock; pop"
"Baby","Ashanti",265706,"True",2002,55,0.567,"hip hop; pop; R&B"
"Murder On The Dancefloor","Sophie Ellis-Bextor",230013,"False",2002,62,0.734,"pop; Dance/Electronic"
"Like I Love You","Justin Timberlake",283626,"False",2002,62,0.853,"pop"
"Rainy Dayz","Mary J. Blige",276373,"False",2001,32,0.412,"pop; R&B"
"Caught in the Middle","A1",206466,"False",2001,53,0.519,"pop"
"Cleanin' Out My Closet","Eminem",297840,"True",2002,71,0.908,"hip hop"
"Happy","Ashanti",262226,"True",2002,61,0.727,"hip hop; pop; R&B"
"Born to Try","Delta Goodrem",251280,"False",2003,54,0.542,"pop"
"Get the Party Started","P!nk",192533,"False",2001,68,0.802,"pop"
"A Woman's Worth","Alicia Keys",303333,"False",2001,52,0.652,"pop; R&B"
"Gotta Get Thru This - D'N'D Radio Edit","Daniel Bedingfield",161240,"False",2002,56,0.838,"pop"
"Clocks","Coldplay",307879,"False",2002,79,0.577,"rock; pop"
"Work It","Missy Elliott",263226,"True",2002,70,0.884,"hip hop; pop; R&B"
"If Tomorrow Never Comes","Ronan Keating",214306,"False",2002,60,0.555,"pop; rock"
"Still Fly","Big Tymers",335613,"True",2002,64,0.675,"hip hop; pop"
"My Sacrifice","Creed",294600,"False",2001,69,0.32,"pop; rock; metal"
"Always On Time","Ja Rule",245133,"True",2001,73,0.839,"hip hop; pop; R&B"
"Foolish","Ashanti",227386,"True",2002,70,0.665,"hip hop; pop; R&B"
"Sk8er Boi","Avril Lavigne",204000,"False",2002,75,0.487,"pop"
"Heaven","DJ Sammy",233600,"False",2002,63,0.571,"pop"
"I'm Not a Girl; Not Yet a Woman","Britney Spears",231066,"False",2001,58,0.534,"pop"
"Oh Boy","Cam’ron",204706,"True",2002,67,0.754,"hip hop; pop"
"By the Way","Red Hot Chili Peppers",216933,"False",2002,73,0.451,"rock"
"A Little Less Conversation - JXL Radio Edit Remix","Elvis Presley",211506,"False",2002,60,0.597,"rock; easy listening"
"The Tide Is High - Radio Mix","Atomic Kitten",206093,"False",2002,65,0.783,"pop"
"Girlfriend","*NSYNC",253600,"False",2001,50,0.745,"pop"
"Somethin' Stupid","Robbie Williams",170493,"False",2001,64,0.654,"pop; rock"
"Hands Clean","Alanis Morissette",269400,"False",2002,57,0.513,"pop; Folk/Acoustic"
"U Don't Have to Call","Usher",269400,"True",2001,59,0.793,"hip hop; pop; R&B"
"One Last Breath - Radio Version","Creed",242000,"False",2015,47,0.38,"pop; rock; metal"
"Here Is Gone","The Goo Goo Dolls",238173,"False",2002,56,0.338,"pop; rock"
